date,mktrf,smb,hml,rmw,cma,rf
2022-01-03,0.0072,0.0044,0.0077,-0.0117,0.0053,0.0
2022-01-04,-0.0027,-0.0006,0.0364,0.0064,0.0156,0.0
2022-01-05,-0.0226,-0.0093,0.0258,0.0141,0.0129,0.0
2022-01-06,0.0,0.0038,0.0176,-0.0056,0.0001,0.0
2022-01-07,-0.0049,-0.0096,0.0202,-0.0013,0.0085,0.0
2022-01-10,-0.0014,-0.0031,-0.0027,-0.0006,-0.0036,0.0
2022-01-11,0.0108,-0.002,-0.0027,-0.0124,0.0035,0.0
2022-01-12,0.0013,-0.0085,0.0052,0.0077,0.0029,0.0
2022-01-13,-0.0155,0.0088,0.0239,0.0118,0.0104,0.0
2022-01-14,0.0008,0.0005,0.0055,-0.0085,0.0052,0.0
2022-01-18,-0.0207,-0.009,0.0138,0.0079,0.0098,0.0
2022-01-19,-0.0102,-0.0036,-0.0067,0.0025,0.001,0.0
2022-01-20,-0.0115,-0.0084,-0.0023,-0.0031,0.0009,0.0
2022-01-21,-0.0209,0.0039,0.0047,0.0103,0.0054,0.0
2022-01-24,0.0054,0.0175,-0.0025,-0.0006,-0.0067,0.0
2022-01-25,-0.0142,-0.0018,0.028,-0.0079,0.0162,0.0
2022-01-26,-0.0029,-0.0106,0.001,0.0042,-0.0002,0.0
2022-01-27,-0.0076,-0.0146,0.0083,0.0105,0.0092,0.0
2022-01-28,0.0246,-0.0062,-0.0208,0.0016,0.0016,0.0
2022-01-31,0.0232,0.007,-0.0287,-0.0182,-0.0167,0.0
2022-02-01,0.0087,0.0012,0.0065,-0.011,0.0033,0.0
2022-02-02,0.0051,-0.0158,0.007,0.015,0.0051,0.0
2022-02-03,-0.0249,0.0046,0.0219,0.0043,0.0136,0.0
2022-02-04,0.0089,-0.003,-0.006,-0.0173,-0.012,0.0
2022-02-07,-0.0024,0.0067,0.002,-0.0071,-0.0001,0.0
2022-02-08,0.0102,0.0073,-0.0029,0.0093,-0.0042,0.0
2022-02-09,0.016,0.0002,-0.0196,-0.011,-0.0026,0.0
2022-02-10,-0.0169,0.0002,0.0123,-0.0056,0.0027,0.0
2022-02-11,-0.0191,0.0092,0.0213,-0.002,0.0143,0.0
2022-02-14,-0.0035,0.0008,-0.0062,0.0069,-0.0018,0.0
2022-02-15,0.0185,0.0102,-0.0141,-0.0068,-0.0081,0.0
2022-02-16,-0.0002,0.0004,0.0032,0.0061,0.0042,0.0
2022-02-17,-0.0229,-0.0005,0.0115,0.0088,0.0147,0.0
2022-02-18,-0.0085,0.0012,0.0095,0.0107,0.0044,0.0
2022-02-22,-0.0117,-0.0036,0.0009,-0.0004,0.0017,0.0
2022-02-23,-0.0196,0.0006,0.0125,0.0002,0.0107,0.0
2022-02-24,0.0187,0.0069,-0.0388,-0.0179,-0.018,0.0
2022-02-25,0.0224,-0.0014,0.0119,0.0036,-0.0019,0.0
2022-02-28,0.0003,0.0039,-0.0046,-0.008,0.0025,0.0
2022-03-01,-0.0155,-0.0028,-0.0085,-0.0041,0.0054,0.0
2022-03-02,0.0182,0.0063,0.013,0.0052,0.0047,0.0
2022-03-03,-0.0086,-0.0022,0.0151,0.0125,0.0125,0.0
2022-03-04,-0.0109,-0.0052,0.0072,0.0037,0.0123,0.0
2022-03-07,-0.0314,0.0073,0.0089,-0.0069,0.0135,0.0
2022-03-08,-0.0053,0.01,0.003,-0.0112,-0.0024,0.0
2022-03-09,0.0279,0.0001,-0.0217,-0.0041,-0.0158,0.0
2022-03-10,-0.0047,0.003,0.0118,-0.0033,0.0034,0.0
2022-03-11,-0.0148,-0.0012,0.0176,0.0097,0.0064,0.0
2022-03-14,-0.0104,-0.0084,0.0179,0.0219,0.001,0.0
2022-03-15,0.0215,-0.0049,-0.0237,0.0077,-0.0099,0.0
2022-03-16,0.026,0.0044,-0.0185,-0.0116,-0.0158,0.0
2022-03-17,0.0142,0.0016,-0.0106,-0.0161,-0.002,0.0
2022-03-18,0.0132,-0.0019,-0.0187,-0.0055,-0.0084,0.0
2022-03-21,-0.0017,-0.0094,0.0164,-0.002,0.0155,0.0
2022-03-22,0.013,-0.0022,-0.0119,-0.0082,-0.0103,0.0
2022-03-23,-0.0126,-0.0062,0.004,-0.0051,0.0152,0.0
2022-03-24,0.0142,-0.0032,-0.0082,-0.0048,-0.0013,0.0
2022-03-25,0.0028,-0.003,0.0219,0.002,0.0137,0.0
2022-03-28,0.0073,-0.0087,-0.0172,0.0051,-0.0124,0.0
2022-03-29,0.0143,0.0119,-0.0192,-0.0032,-0.0099,0.0
2022-03-30,-0.0082,-0.0112,0.004,0.0037,0.0092,0.0
2022-03-31,-0.0154,0.0062,-0.0045,-0.0022,0.004,0.0
2022-04-01,0.0039,0.0058,-0.0061,-0.0092,0.0005,0.0
2022-04-04,0.0093,-0.0056,-0.0186,-0.0077,-0.007,0.0
2022-04-05,-0.0153,-0.0072,0.0082,0.0069,0.0015,0.0
2022-04-06,-0.0123,-0.003,0.0108,0.0023,0.0088,0.0
2022-04-07,0.0034,-0.0061,-0.0012,0.0037,0.003,0.0
2022-04-08,-0.0038,-0.0053,0.0227,0.0037,0.0104,0.0
2022-04-11,-0.0154,0.0062,0.0105,0.0046,0.001,0.0
2022-04-12,-0.0029,0.0056,0.0047,-0.0024,0.0107,0.0
2022-04-13,0.0139,0.0061,-0.0071,-0.01,0.0,0.0
2022-04-14,-0.0128,0.0032,0.0143,0.0017,0.0098,0.0
2022-04-18,-0.0019,-0.0058,0.018,0.0077,0.0067,0.0
2022-04-19,0.0176,0.004,-0.0097,0.0054,-0.0126,0.0
2022-04-20,-0.0027,0.005,0.0126,0.0077,0.0118,0.0
2022-04-21,-0.0173,-0.0056,0.0041,0.0179,0.0044,0.0
2022-04-22,-0.0274,0.0026,-0.0018,-0.0015,-0.0021,0.0
2022-04-25,0.007,0.0012,-0.0186,0.0011,-0.0111,0.0
2022-04-26,-0.0299,-0.0036,0.018,0.0024,0.0125,0.0
2022-04-27,0.0013,-0.0056,0.0034,0.0014,0.008,0.0
2022-04-28,0.0245,-0.0052,-0.0042,0.0048,0.0005,0.0
2022-04-29,-0.0354,0.0088,0.0061,-0.0024,0.0068,0.0
2022-05-02,0.008,0.0038,-0.0116,-0.0063,-0.0135,1e-05
2022-05-03,0.0041,0.0016,0.0165,0.0001,0.0119,1e-05
2022-05-04,0.0301,-0.0047,0.0024,0.0002,0.0007,1e-05
2022-05-05,-0.038,-0.0023,0.0237,0.0059,0.0122,1e-05
2022-05-06,-0.0085,-0.0101,0.0184,0.0098,0.0139,1e-05
2022-05-09,-0.0352,-0.0005,0.0133,0.0426,-0.002,1e-05
2022-05-10,0.0022,-0.0049,-0.0122,-0.0068,0.0028,1e-05
2022-05-11,-0.0193,-0.0061,0.0261,0.0062,0.0102,1e-05
2022-05-12,0.0015,0.012,-0.0123,-0.0034,-0.0112,1e-05
2022-05-13,0.0274,0.0037,-0.0218,-0.0214,-0.0075,1e-05
2022-05-16,-0.0059,0.0009,0.0131,0.0019,0.0131,1e-05
2022-05-17,0.0213,0.0094,-0.0005,-0.0068,-0.0031,1e-05
2022-05-18,-0.0406,0.0046,0.0154,-0.0059,0.004,1e-05
2022-05-19,-0.0034,0.004,-0.0081,-0.0121,-0.0091,1e-05
2022-05-20,-0.0005,-0.0013,-0.0019,-0.001,0.0019,1e-05
2022-05-23,0.0175,-0.0092,0.0131,-0.0005,0.0097,1e-05
2022-05-24,-0.0121,-0.0046,0.0183,0.0139,0.0126,1e-05
2022-05-25,0.0121,0.0074,0.002,-0.0051,-0.0003,1e-05
2022-05-26,0.0218,0.0002,-0.0061,-0.0014,-0.0035,1e-05
2022-05-27,0.0258,0.0003,-0.0128,-0.0065,-0.0028,1e-05
2022-05-31,-0.0071,-0.0039,0.0046,0.008,-0.0021,1e-05
2022-06-01,-0.0074,0.0023,0.008,-0.002,0.0103,3e-05
2022-06-02,0.0209,0.004,-0.0208,-0.0042,-0.0153,3e-05
2022-06-03,-0.0163,0.0103,0.0055,-0.0081,0.0046,3e-05
2022-06-06,0.0033,0.0004,0.0066,0.0047,0.0017,3e-05
2022-06-07,0.01,0.002,-0.0015,-0.0157,0.0065,3e-05
2022-06-08,-0.0102,-0.0027,-0.0053,-0.007,-0.0025,3e-05
2022-06-09,-0.0243,0.0046,0.0026,0.0085,0.0021,3e-05
2022-06-10,-0.03,0.0027,0.0066,0.0029,0.0055,3e-05
2022-06-13,-0.0412,-0.0046,0.006,0.0169,-0.0031,3e-05
2022-06-14,-0.0026,0.0011,0.0011,0.0011,0.0005,3e-05
2022-06-15,0.0155,-0.0003,-0.0167,-0.0019,-0.0115,3e-05
2022-06-16,-0.0352,-0.011,0.0,0.0059,-0.0062,3e-05
2022-06-17,0.0045,0.0073,-0.0268,0.0037,-0.0203,3e-05
2022-06-21,0.0238,-0.0083,0.0024,-0.0093,0.0,3e-05
2022-06-22,-0.0019,0.0005,-0.0182,0.0062,-0.0159,3e-05
2022-06-23,0.0112,0.0031,-0.0389,0.005,-0.0194,3e-05
2022-06-24,0.0313,-0.0042,-0.0002,0.0011,-0.0037,3e-05
2022-06-27,-0.0027,0.0077,0.0125,-0.0033,0.0127,3e-05
2022-06-28,-0.0209,0.0004,0.024,-0.0069,0.0133,3e-05
2022-06-29,-0.0019,-0.0058,-0.0134,0.0108,-0.0087,3e-05
2022-06-30,-0.0096,0.0051,-0.0014,0.009,-0.0015,3e-05
2022-07-01,0.0115,-0.0004,0.0012,-0.008,-0.0009,4e-05
2022-07-05,0.0048,0.0112,-0.0334,-0.0185,-0.0226,4e-05
2022-07-06,0.0017,-0.0087,-0.0076,0.0004,-0.0035,4e-05
2022-07-07,0.0176,0.0087,-0.0095,-0.008,-0.014,4e-05
2022-07-08,-0.0007,0.0008,-0.0008,-0.0026,-0.0022,4e-05
2022-07-11,-0.0138,-0.0099,0.0161,0.017,0.014,4e-05
2022-07-12,-0.0089,0.0088,0.0052,0.0016,0.0092,4e-05
2022-07-13,-0.0039,0.0042,-0.0041,0.0003,-0.0033,4e-05
2022-07-14,-0.0041,-0.0045,-0.0101,0.0076,-0.0001,4e-05
2022-07-15,0.0196,0.0003,0.005,-0.0018,-0.0031,4e-05
2022-07-18,-0.0071,0.0035,0.0101,0.002,-0.0018,4e-05
2022-07-19,0.0281,0.0083,-0.0054,-0.0022,-0.0066,4e-05
2022-07-20,0.0089,0.0108,-0.0133,-0.0147,-0.0159,4e-05
2022-07-21,0.0097,-0.0038,-0.0161,-0.0026,-0.01,4e-05
2022-07-22,-0.0118,-0.0085,0.0139,0.0177,0.0152,4e-05
2022-07-25,0.0012,0.001,0.0165,0.0064,0.0054,4e-05
2022-07-26,-0.0132,0.0037,0.0107,0.0065,0.0123,4e-05
2022-07-27,0.0272,0.0015,-0.0127,-0.0019,-0.015,4e-05
2022-07-28,0.012,-0.0003,-0.0092,0.0014,-0.0096,4e-05
2022-07-29,0.0145,-0.0091,0.0045,0.0049,-0.0123,4e-05
2022-08-01,-0.002,0.0017,-0.0024,0.0022,0.0036,8e-05
2022-08-02,-0.005,0.0056,-0.0141,-0.0223,-0.0052,8e-05
2022-08-03,0.0167,0.0027,-0.0195,-0.0154,-0.0085,8e-05
2022-08-04,-0.0005,0.0041,-0.0165,-0.013,-0.0094,8e-05
2022-08-05,-0.0004,0.0095,-0.0005,-0.0127,-0.0021,8e-05
2022-08-08,0.0,0.0096,-0.0009,-0.0054,0.0022,8e-05
2022-08-09,-0.0067,-0.0135,0.0211,0.0086,0.0129,8e-05
2022-08-10,0.0235,0.0075,-0.0162,-0.0137,-0.0145,8e-05
2022-08-11,-0.0007,0.0021,0.0167,0.0078,0.01,8e-05
2022-08-12,0.0176,0.005,-0.008,-0.0064,-0.0059,8e-05
2022-08-15,0.0038,-0.0002,-0.0061,-0.0019,-0.0005,8e-05
2022-08-16,0.0019,-0.0014,0.007,0.0104,0.0052,8e-05
2022-08-17,-0.0092,-0.0092,0.0104,0.0127,0.0071,8e-05
2022-08-18,0.0027,0.0035,0.0045,0.008,0.0005,8e-05
2022-08-19,-0.0149,-0.0094,0.0098,0.0103,0.0135,8e-05
2022-08-22,-0.0213,-0.0005,0.0034,0.0015,0.0021,8e-05
2022-08-23,-0.0011,0.0012,0.0031,-0.0036,-0.0025,8e-05
2022-08-24,0.0039,0.0052,-0.0062,-0.0145,-0.0056,8e-05
2022-08-25,0.0145,0.0012,-0.0001,0.0018,-0.0039,8e-05
2022-08-26,-0.0337,-0.0027,0.0166,0.0016,0.0089,8e-05
2022-08-29,-0.0071,-0.0039,0.0044,0.0026,0.0044,8e-05
2022-08-30,-0.0111,-0.0039,-0.0022,-0.0025,0.0012,8e-05
2022-08-31,-0.0075,0.0024,-0.0047,-0.0066,-0.0018,8e-05
2022-09-01,0.0,-0.0105,-0.0028,0.0056,0.0055,9e-05
2022-09-02,-0.0099,0.001,0.0103,-0.0005,0.0026,9e-05
2022-09-06,-0.0051,-0.0054,-0.0054,-0.002,-0.0069,9e-05
2022-09-07,0.0192,0.0041,-0.0154,-0.0135,-0.0054,9e-05
2022-09-08,0.0078,-0.0015,-0.0018,-0.0122,-0.0106,9e-05
2022-09-09,0.0167,0.0037,-0.0051,-0.0014,-0.0052,9e-05
2022-09-12,0.0107,0.0025,-0.0017,-0.0012,-0.0016,9e-05
2022-09-13,-0.0429,0.0006,0.0141,-0.0037,0.01,9e-05
2022-09-14,0.0044,-0.0018,-0.0032,-0.0078,-0.0052,9e-05
2022-09-15,-0.0104,0.0039,0.0061,-0.0033,0.0025,9e-05
2022-09-16,-0.0098,-0.0075,0.0086,0.0171,0.0095,9e-05
2022-09-19,0.0072,-0.0009,0.0068,0.0063,-0.0006,9e-05
2022-09-20,-0.0115,-0.0029,0.0003,-0.0012,0.0033,9e-05
2022-09-21,-0.0168,0.0035,0.0006,0.0038,0.0012,9e-05
2022-09-22,-0.0114,-0.0114,0.0044,0.0114,0.0102,9e-05
2022-09-23,-0.0185,-0.0046,-0.008,0.0019,-0.0018,9e-05
2022-09-26,-0.0102,-0.0004,-0.0075,0.0016,-0.0044,9e-05
2022-09-27,-0.0005,0.0058,-0.0097,-0.0065,-0.0092,9e-05
2022-09-28,0.0214,0.009,-0.0036,-0.0087,-0.0082,9e-05
2022-09-29,-0.0216,-0.0029,0.0092,0.0043,0.0055,9e-05
2022-09-30,-0.0143,0.0057,0.0027,-0.0066,-0.0012,9e-05
2022-10-03,0.0256,0.0,0.007,0.0089,0.0043,0.00011
2022-10-04,0.033,0.0074,-0.0009,-0.0097,-0.0039,0.00011
2022-10-05,-0.0021,-0.0037,0.0005,0.0034,0.0014,0.00011
2022-10-06,-0.0085,0.0045,0.0012,-0.0013,-0.0051,0.00011
2022-10-07,-0.029,-0.0022,0.0168,0.0093,0.0157,0.00011
2022-10-10,-0.008,0.0024,0.0076,0.0154,0.0044,0.00011
