indexname,gvkey,tic,companyname,primaryflag,fromdate
S&P 500,007435,MMM,3M Company,1,2009-12-18
S&P 500,009771,AOS,A. O. Smith Corporation,1,2017-07-26
S&P 500,001598,AME,"AMETEK, Inc.",1,2013-09-23
S&P 500,001678,APA,APA Corporation,1,2021-03-02
S&P 500,009899,T,AT&T Inc.,1,2009-12-18
S&P 500,016101,ABBV,AbbVie Inc.,1,2013-01-02
S&P 500,001078,ABT,Abbott Laboratories,1,2009-12-18
S&P 500,143357,ACN,Accenture plc,1,2011-07-06
S&P 500,012540,ADBE,Adobe Inc.,1,2009-12-18
S&P 500,001161,AMD,"Advanced Micro Devices, Inc.",1,2017-03-20
S&P 500,001449,AFL,Aflac Incorporated,1,2009-12-18
S&P 500,126554,A,"Agilent Technologies, Inc.",1,2009-12-18
S&P 500,001209,APD,"Air Products and Chemicals, Inc.",1,2009-12-18
S&P 500,037460,ABNB,"Airbnb, Inc.",1,2023-09-18
S&P 500,125595,AKAM,"Akamai Technologies, Inc.",1,2009-12-18
S&P 500,029751,ALB,Albemarle Corporation,1,2016-07-01
S&P 500,064821,ARE,"Alexandria Real Estate Equities, Inc.",1,2017-03-20
S&P 500,141384,ALGN,"Align Technology, Inc.",1,2017-06-19
S&P 500,316056,ALLE,Allegion plc,1,2013-12-02
S&P 500,011554,LNT,Alliant Energy Corporation,1,2016-07-01
S&P 500,160329,GOOG,Alphabet Inc.,0,2015-10-05
S&P 500,160329,GOOGL,Alphabet Inc.,1,2015-10-05
S&P 500,008543,MO,"Altria Group, Inc.",1,2009-12-18
S&P 500,064768,AMZN,"Amazon.com, Inc.",1,2009-12-18
S&P 500,100243,AMCR,Amcor plc,1,2019-06-11
S&P 500,010860,AEE,Ameren Corporation,1,2009-12-18
S&P 500,001440,AEP,"American Electric Power Company, Inc.",1,2009-12-18
S&P 500,001447,AXP,American Express Company,1,2009-12-18
S&P 500,001487,AIG,"American International Group, Inc.",1,2009-12-18
S&P 500,105365,AMT,American Tower Corporation,1,2012-01-03
S&P 500,179437,AWK,"American Water Works Company, Inc.",1,2016-03-04
S&P 500,164708,AMP,"Ameriprise Financial, Inc.",1,2009-12-18
S&P 500,001602,AMGN,Amgen Inc.,1,2009-12-18
S&P 500,014282,APH,Amphenol Corporation,1,2009-12-18
S&P 500,001632,ADI,"Analog Devices, Inc.",1,2009-12-18
S&P 500,003221,AON,Aon plc,1,2020-04-01
S&P 500,184254,APO,"Apollo Global Management, Inc.",1,2024-12-23
S&P 500,001690,AAPL,Apple Inc.,1,2009-12-18
S&P 500,001704,AMAT,"Applied Materials, Inc.",1,2009-12-18
S&P 500,118122,APTV,Aptiv PLC,1,2024-12-18
S&P 500,061302,ACGL,Arch Capital Group Ltd.,1,2022-11-01
S&P 500,001722,ADM,Archer-Daniels-Midland Company,1,2009-12-18
S&P 500,020748,ANET,Arista Networks Inc,1,2024-12-04
S&P 500,004973,AJG,Arthur J. Gallagher & Co.,1,2016-05-31
S&P 500,157057,AIZ,"Assurant, Inc.",1,2009-12-18
S&P 500,004383,ATO,Atmos Energy Corporation,1,2019-02-15
S&P 500,023809,AZO,"AutoZone, Inc.",1,2009-12-18
S&P 500,001878,ADSK,"Autodesk, Inc.",1,2009-12-18
S&P 500,001891,ADP,"Automatic Data Processing, Inc.",1,2009-12-18
S&P 500,029875,AVB,"AvalonBay Communities, Inc.",1,2009-12-18
S&P 500,001913,AVY,Avery Dennison Corporation,1,2009-12-18
S&P 500,143912,AXON,"Axon Enterprise, Inc.",1,2023-05-04
S&P 500,064925,BXP,"BXP, Inc.",1,2009-12-18
S&P 500,032106,BKR,Baker Hughes Company,1,2019-10-18
S&P 500,001988,BALL,Ball Corporation,1,2022-05-10
S&P 500,007647,BAC,Bank of America Corporation,1,2009-12-18
S&P 500,002086,BAX,Baxter International Inc.,1,2009-12-18
S&P 500,002111,BDX,"Becton, Dickinson and Company",1,2009-12-18
S&P 500,002176,BRK.B,Berkshire Hathaway Inc.,0,2010-02-16
S&P 500,002184,BBY,"Best Buy Co., Inc.",1,2009-12-18
S&P 500,015414,TECH,Bio-Techne Corporation,1,2021-08-30
S&P 500,024468,BIIB,Biogen Inc.,1,2009-12-18
S&P 500,124434,BLK,"BlackRock, Inc.",1,2024-10-02
S&P 500,177088,BX,Blackstone Inc.,1,2023-09-18
S&P 500,026367,XYZ,"Block, Inc.",1,2025-07-23
S&P 500,119314,BKNG,Booking Holdings Inc.,1,2018-02-27
S&P 500,025279,BSX,Boston Scientific Corporation,1,2009-12-18
S&P 500,002403,BMY,Bristol-Myers Squibb Company,1,2009-12-18
S&P 500,180711,AVGO,Broadcom Inc.,1,2018-04-06
S&P 500,176928,BR,"Broadridge Financial Solutions, Inc.",1,2018-06-18
S&P 500,015417,BRO,"Brown & Brown, Inc.",1,2021-09-20
S&P 500,002435,BF.B,Brown-Forman Corporation,1,2009-12-18
S&P 500,163036,BLDR,"Builders FirstSource, Inc.",1,2023-12-18
S&P 500,144435,BG,Bunge Global SA,1,2023-11-01
S&P 500,065609,CHRW,"C.H. Robinson Worldwide, Inc.",1,2009-12-18
S&P 500,260774,CBRE,"CBRE Group, Inc.",1,2018-03-20
S&P 500,028320,CDW,CDW Corporation,1,2019-09-23
S&P 500,163946,CF,"CF Industries Holdings, Inc.",1,2009-12-18
S&P 500,149070,CME,CME Group Inc.,1,2009-12-18
S&P 500,003439,CMS,CMS Energy Corporation,1,2009-12-18
S&P 500,002574,CSX,CSX Corporation,1,2009-12-18
S&P 500,007241,CVS,CVS Health Corporation,1,2009-12-18
S&P 500,013421,CDNS,"Cadence Design Systems, Inc.",1,2017-09-18
S&P 500,021808,CZR,"Caesars Entertainment, Inc.",1,2021-03-22
S&P 500,028629,CPT,Camden Property Trust,1,2022-04-04
S&P 500,030990,COF,Capital One Financial Corporation,1,2009-12-18
S&P 500,064410,KMX,"CarMax, Inc.",1,2010-06-28
S&P 500,002751,CAH,"Cardinal Health, Inc.",1,2009-12-18
S&P 500,013498,CCL,Carnival Corporation & plc,1,2009-12-18
S&P 500,036191,CARR,Carrier Global Corporation,1,2020-04-03
S&P 500,002817,CAT,Caterpillar Inc.,1,2009-12-18
S&P 500,184500,CBOE,"Cboe Global Markets, Inc.",1,2017-03-01
S&P 500,031673,COR,"Cencora, Inc.",1,2023-08-30
S&P 500,145552,CNC,Centene Corporation,1,2016-03-30
S&P 500,005742,CNP,"CenterPoint Energy, Inc.",1,2009-12-18
S&P 500,137131,CRL,"Charles River Laboratories International, Inc.",1,2021-05-14
S&P 500,126136,CHTR,"Charter Communications, Inc.",1,2016-09-08
S&P 500,002991,CVX,Chevron Corporation,1,2009-12-18
S&P 500,165914,CMG,"Chipotle Mexican Grill, Inc.",1,2011-04-28
S&P 500,028034,CB,Chubb Limited,1,2016-01-15
S&P 500,003026,CHD,"Church & Dwight Co., Inc.",1,2015-12-29
S&P 500,014824,CINF,Cincinnati Financial Corporation,1,2009-12-18
S&P 500,003062,CTAS,Cintas Corporation,1,2009-12-18
S&P 500,020779,CSCO,"Cisco Systems, Inc.",1,2009-12-18
S&P 500,003243,C,Citigroup Inc.,1,2011-05-09
S&P 500,021825,CFG,"Citizens Financial Group, Inc.",1,2016-02-01
S&P 500,112111,CSGP,"CoStar Group, Inc.",1,2022-09-19
S&P 500,111864,CTSH,Cognizant Technology Solutions Corporation,1,2009-12-18
S&P 500,034749,COIN,"Coinbase Global, Inc.",1,2025-05-19
S&P 500,003170,CL,Colgate-Palmolive Company,1,2009-12-18
S&P 500,003226,CMCSA,Comcast Corporation,1,2009-12-18
S&P 500,003362,CAG,"Conagra Brands, Inc.",1,2009-12-18
S&P 500,008549,COP,ConocoPhillips,1,2009-12-18
S&P 500,003413,ED,"Consolidated Edison, Inc.",1,2009-12-18
S&P 500,002710,STZ,"Constellation Brands, Inc.",1,2009-12-18
S&P 500,040614,CEG,Constellation Energy Corporation,1,2022-02-02
S&P 500,029901,CPRT,"Copart, Inc.",1,2018-07-02
S&P 500,003532,GLW,Corning Incorporated,1,2009-12-18
S&P 500,184700,CPAY,"Corpay, Inc.",1,2024-03-25
S&P 500,035168,CTVA,"Corteva, Inc.",1,2019-06-03
S&P 500,029028,COST,Costco Wholesale Corporation,1,2009-12-18
S&P 500,020548,CTRA,Coterra Energy Inc.,1,2021-10-04
S&P 500,035182,CRWD,"CrowdStrike Holdings, Inc.",1,2024-06-24
S&P 500,113490,CCI,Crown Castle Inc.,1,2014-12-16
S&P 500,003650,CMI,Cummins Inc.,1,2009-12-18
S&P 500,025340,DHI,"D.R. Horton, Inc.",1,2009-12-18
S&P 500,003897,DTE,DTE Energy Company,1,2009-12-18
S&P 500,061483,DVA,DaVita Inc.,1,2009-12-18
S&P 500,003735,DHR,Danaher Corporation,1,2009-12-18
S&P 500,031846,DRI,"Darden Restaurants, Inc.",1,2009-12-18
S&P 500,035620,DDOG,"Datadog, Inc.",1,2025-07-09
S&P 500,023546,DAY,Dayforce Inc.,1,2024-02-01
S&P 500,029015,DECK,Deckers Outdoor Corporation,1,2024-03-18
S&P 500,003835,DE,Deere & Company,1,2009-12-18
S&P 500,014489,DELL,Dell Technologies Inc.,1,2024-09-23
S&P 500,003851,DAL,"Delta Air Lines, Inc.",1,2013-09-11
S&P 500,014934,DVN,Devon Energy Corporation,1,2009-12-18
S&P 500,162887,DXCM,"DexCom, Inc.",1,2020-05-12
S&P 500,170750,FANG,"Diamondback Energy, Inc.",1,2018-12-03
S&P 500,160991,DLR,"Digital Realty Trust, Inc.",1,2016-05-18
S&P 500,004016,DG,Dollar General Corporation,1,2012-12-03
S&P 500,031587,DLTR,"Dollar Tree, Inc.",1,2011-12-19
S&P 500,004029,D,"Dominion Energy, Inc.",1,2009-12-18
S&P 500,160211,DPZ,"Domino's Pizza, Inc.",1,2020-05-12
S&P 500,037420,DASH,"DoorDash, Inc.",1,2025-03-24
S&P 500,004058,DOV,Dover Corporation,1,2009-12-18
S&P 500,034443,DOW,Dow Inc.,1,2019-04-02
S&P 500,004060,DD,"DuPont de Nemours, Inc.",1,2019-06-03
S&P 500,004093,DUK,Duke Energy Corporation,1,2012-07-03
S&P 500,016478,EOG,"EOG Resources, Inc.",1,2009-12-18
S&P 500,187697,EPAM,"EPAM Systems, Inc.",1,2021-12-14
S&P 500,004430,EQT,EQT Corporation,1,2022-10-03
S&P 500,029392,EMN,Eastman Chemical Company,1,2009-12-18
S&P 500,004199,ETN,Eaton Corporation plc,1,2012-12-03
S&P 500,004213,ECL,Ecolab Inc.,1,2009-12-18
S&P 500,009846,EIX,Edison International,1,2009-12-18
S&P 500,133366,EW,Edwards Lifesciences Corporation,1,2011-04-01
S&P 500,016721,EA,Electronic Arts Inc.,1,2011-12-20
S&P 500,145046,ELV,"Elevance Health, Inc.",1,2022-06-28
S&P 500,006730,LLY,Eli Lilly and Company,1,2009-12-18
S&P 500,004321,EMR,Emerson Electric Co.,1,2009-12-18
S&P 500,187450,ENPH,"Enphase Energy, Inc.",1,2021-01-07
S&P 500,007366,ETR,Entergy Corporation,1,2009-12-18
S&P 500,004423,EFX,Equifax Inc.,1,2009-12-18
S&P 500,138743,EQIX,"Equinix, Inc.",1,2015-03-23
S&P 500,028733,EQR,Equity Residential,1,2009-12-18
S&P 500,061380,ERIE,Erie Indemnity Company,1,2024-09-23
S&P 500,030293,ESS,"Essex Property Trust, Inc.",1,2014-04-02
S&P 500,061388,EG,"Everest Group, Ltd.",1,2023-07-10
S&P 500,006338,EVRG,"Evergy, Inc.",1,2018-06-05
S&P 500,007970,ES,Eversource Energy,1,2015-02-19
S&P 500,008539,EXC,Exelon Corporation,1,2009-12-18
S&P 500,027786,EXE,Expand Energy Corporation,1,2025-03-24
S&P 500,126296,EXPE,"Expedia Group, Inc.",1,2011-12-21
S&P 500,004494,EXPD,"Expeditors International of Washington, Inc.",1,2009-12-18
S&P 500,160479,EXR,Extra Space Storage Inc.,1,2016-01-19
S&P 500,004503,XOM,Exxon Mobil Corporation,1,2009-12-18
S&P 500,121077,FFIV,"F5, Inc.",1,2010-12-20
S&P 500,063172,FDS,FactSet Research Systems Inc.,1,2021-12-20
S&P 500,013824,FICO,Fair Isaac Corporation,1,2023-03-20
S&P 500,014225,FAST,Fastenal Company,1,2009-12-18
S&P 500,004598,FDX,FedEx Corporation,1,2009-12-18
S&P 500,004605,FRT,Federal Realty Investment Trust,1,2022-01-03
S&P 500,165993,FIS,"Fidelity National Information Services, Inc.",1,2009-12-18
S&P 500,004640,FITB,Fifth Third Bancorp,1,2009-12-18
S&P 500,175404,FSLR,"First Solar, Inc.",1,2022-12-19
S&P 500,008099,FE,FirstEnergy Corp.,1,2009-12-18
S&P 500,012635,FI,"Fiserv, Inc.",1,2023-06-07
S&P 500,004839,F,Ford Motor Company,1,2009-12-18
S&P 500,183377,FTNT,"Fortinet, Inc.",1,2018-10-11
S&P 500,026590,FTV,Fortive Corporation,1,2016-07-05
S&P 500,034636,FOX,Fox Corporation,0,2019-03-19
S&P 500,034636,FOXA,Fox Corporation,1,2019-03-19
S&P 500,004885,BEN,"Franklin Resources, Inc.",1,2009-12-18
S&P 500,014590,FCX,Freeport-McMoRan Inc.,1,2009-12-18
S&P 500,041818,GEHC,GE HealthCare Technologies Inc.,1,2023-01-04
S&P 500,045169,GEV,GE Vernova Inc.,1,2024-04-02
S&P 500,141459,GRMN,Garmin Ltd.,1,2012-12-12
S&P 500,012441,IT,"Gartner, Inc.",1,2017-04-05
S&P 500,015855,GEN,Gen Digital Inc.,1,2022-11-08
S&P 500,183736,GNRC,Generac Holdings Inc.,1,2021-03-22
S&P 500,005046,GD,General Dynamics Corporation,1,2009-12-18
S&P 500,005047,GE,General Electric Company,1,2021-08-02
S&P 500,005071,GIS,"General Mills, Inc.",1,2009-12-18
S&P 500,005073,GM,General Motors Company,1,2013-06-07
S&P 500,005125,GPC,Genuine Parts Company,1,2009-12-18
S&P 500,024856,GILD,"Gilead Sciences, Inc.",1,2009-12-18
S&P 500,141913,GPN,Global Payments Inc.,1,2016-04-25
S&P 500,010614,GL,Globe Life Inc.,1,2019-08-09
S&P 500,023071,GDDY,GoDaddy Inc.,1,2024-06-24
S&P 500,022260,HCA,"HCA Healthcare, Inc.",1,2015-01-27
S&P 500,005606,HPQ,HP Inc.,1,2015-11-02
S&P 500,005439,HAL,Halliburton Company,1,2009-12-18
S&P 500,005518,HAS,"Hasbro, Inc.",1,2009-12-18
S&P 500,013125,DOC,"Healthpeak Properties, Inc.",1,2024-03-04
S&P 500,061494,HSIC,"Henry Schein, Inc.",1,2015-03-18
S&P 500,026156,HPE,Hewlett Packard Enterprise Company,1,2015-11-02
S&P 500,005643,HLT,Hilton Worldwide Holdings Inc.,1,2017-06-19
S&P 500,020904,HOLX,"Hologic, Inc.",1,2016-03-30
S&P 500,001300,HON,Honeywell International Inc.,1,2009-12-18
S&P 500,005709,HRL,Hormel Foods Corporation,1,2009-12-18
S&P 500,007063,HST,"Host Hotels & Resorts, Inc.",1,2009-12-18
S&P 500,028192,HWM,Howmet Aerospace Inc.,1,2020-04-01
S&P 500,005764,HUBB,Hubbell Incorporated,1,2023-10-18
S&P 500,027914,HUM,Humana Inc.,1,2009-12-18
S&P 500,005786,HBAN,Huntington Bancshares Incorporated,1,2009-12-18
S&P 500,186310,HII,"Huntington Ingalls Industries, Inc.",1,2018-01-03
S&P 500,015267,IEX,IDEX Corporation,1,2019-08-09
S&P 500,024197,IDXX,"IDEXX Laboratories, Inc.",1,2017-01-05
S&P 500,017928,IQV,IQVIA Holdings Inc.,1,2017-11-15
S&P 500,005878,ITW,Illinois Tool Works Inc.,1,2009-12-18
S&P 500,029127,INCY,Incyte Corporation,1,2017-02-28
S&P 500,030098,IR,Ingersoll Rand Inc.,1,2020-03-03
S&P 500,177227,PODD,Insulet Corporation,1,2023-03-15
S&P 500,006008,INTC,Intel Corporation,1,2009-12-18
S&P 500,176701,IBKR,"Interactive Brokers Group, Inc.",1,2025-08-28
S&P 500,163610,ICE,"Intercontinental Exchange, Inc.",1,2013-11-13
S&P 500,006066,IBM,International Business Machines Corporation,1,2009-12-18
S&P 500,006078,IFF,International Flavors & Fragrances Inc.,1,2009-12-18
S&P 500,006104,IP,International Paper Company,1,2009-12-18
S&P 500,027928,INTU,Intuit Inc.,1,2009-12-18
S&P 500,136725,ISRG,"Intuitive Surgical, Inc.",1,2009-12-18
S&P 500,029804,IVZ,Invesco Ltd.,1,2009-12-18
S&P 500,030004,INVH,Invitation Homes Inc.,1,2022-09-19
S&P 500,062374,IRM,Iron Mountain Incorporated,1,2015-01-21
S&P 500,005783,JBHT,"J.B. Hunt Transport Services, Inc.",1,2015-07-01
S&P 500,002968,JPM,JPMorgan Chase & Co.,1,2009-12-18
S&P 500,028195,JBL,Jabil Inc.,1,2023-12-18
S&P 500,011811,JKHY,"Jack Henry & Associates, Inc.",1,2018-11-13
S&P 500,006216,J,Jacobs Solutions Inc.,1,2022-08-29
S&P 500,006266,JNJ,Johnson & Johnson,1,2009-12-18
S&P 500,006268,JCI,Johnson Controls International plc,1,2016-09-06
S&P 500,179741,KKR,KKR & Co. Inc.,1,2024-06-24
